country,total_consumption,total_emission,total_consumption_emission
Albania,532.73,1777.85,2310.58
Algeria,364.51,707.88,1072.3899999999999
Angola,115.99000000000001,412.99,528.98
Argentina,429.40999999999997,2172.4,2601.81
Armenia,407.11,1109.93,1517.04
Australia,465.09000000000003,1938.6599999999999,2403.75
Austria,469.14,1211.16,1680.3000000000002
Bahamas,301.45,1192.9,1494.3500000000001
Bangladesh,236.6,374.18,610.78
Barbados,311.26,889.11,1200.37
Belarus,321.53,960.22,1281.75
Belgium,463.46,1102.09,1565.55
Belize,232.77,433.08,665.85
Bermuda,306.62,1483.28,1789.9
Bolivia,204.25,873.0300000000001,1077.2800000000002
Bosnia and Herz.,313.64,628.1800000000001,941.82
Botswana,188.85,576.8399999999999,765.6899999999999
Brazil,355.16,1616.7299999999998,1971.8899999999999
Bulgaria,348.42999999999995,560.16,908.5899999999999
Cambodia,225.06,452.41,677.47
Cameroon,97.09,283.61,380.70000000000005
Canada,412.55,1437.16,1849.71
Chile,335.06,1099.57,1434.6299999999999
China,283.9,640.19,924.09
Colombia,235.03,781.53,1016.56
Congo,117.33,262.54999999999995,379.87999999999994
Costa Rica,343.07,891.27,1234.34
Croatia,433.87,996.15,1430.02
Cuba,291.01,591.69,882.7
Cyprus,303.65000000000003,741.37,1045.02
Czechia,384.61,760.09,1144.7
Denmark,499.07000000000005,1498.18,1997.25
Ecuador,291.36,883.88,1175.24
Egypt,303.48,673.92,977.4
El Salvador,209.76,434.04,643.8
Estonia,464.96000000000004,830.72,1295.68
Ethiopia,85.77,241.92000000000002,327.69
Fiji,252.52,716.0899999999999,968.6099999999999
Finland,639.79,1464.63,2104.42
France,479.17,1420.05,1899.22
Gambia,180.56,293.66,474.22
Georgia,362.22,527.03,889.25
Germany,461.1,1066.29,1527.3899999999999
Ghana,101.21,217.87,319.08
Greece,493.63,1497.29,1990.92
Grenada,254.25,439.85,694.1
Guatemala,133.3,314.98,448.28000000000003
Guinea,161.41,432.71,594.12
Honduras,185.76,434.08,619.8399999999999
Hong Kong,426.02,1494.28,1920.3
Hungary,352.99,576.79,929.78
Iceland,472.31,1731.36,2203.67
India,704.03,1186.08,1890.1100000000001
Indonesia,224.98999999999998,367.51,592.5
Iran,292.26,445.27000000000004,737.53
Ireland,518.6500000000001,1459.67,1978.3200000000002
Israel,457.75,1405.71,1863.46
Italy,513.98,1206.33,1720.31
Jamaica,273.02,450.83,723.8499999999999
Japan,286.46,644.0400000000001,930.5
Jordan,291.41999999999996,587.96,879.38
Kazakhstan,468.1,1575.08,2043.1799999999998
Kenya,162.56,530.84,693.4000000000001
Kuwait,410.38,1345.44,1755.8200000000002
Latvia,348.53999999999996,633.58,982.12
Liberia,131.04,203.38,334.41999999999996
Lithuania,555.01,868.9000000000001,1423.91
Luxembourg,497.9,1598.41,2096.31
Madagascar,513.75,1112.8200000000002,1626.5700000000002
Malawi,51.0,207.94,258.94
Malaysia,282.74,554.64,837.38
Malta,457.54,1147.91,1605.45
Mexico,242.72,797.13,1039.85
Morocco,296.01,576.42,872.43
Mozambique,63.41,141.4,204.81
Myanmar,275.1,563.8,838.9
Namibia,151.15,362.11,513.26
Nepal,208.55,526.22,734.77
Netherlands,534.1700000000001,1292.82,1826.99
New Caledonia,321.24,918.62,1239.8600000000001
New Zealand,707.5799999999999,3175.6400000000003,3883.22
Nicaragua,196.95,377.69,574.64
Niger,101.14,542.8900000000001,644.0300000000001
Nigeria,94.23,267.79,362.02000000000004
North Macedonia,321.47,600.75,922.22
Norway,487.49,1381.8899999999999,1869.3799999999999
Oman,363.66999999999996,1296.7,1660.37
Pakistan,330.95,669.07,1000.02
Panama,260.53000000000003,928.4599999999999,1188.99
Paraguay,189.17,876.6700000000001,1065.8400000000001
Peru,215.19,402.84,618.03
Philippines,227.79000000000002,455.28000000000003,683.07
Poland,411.42,607.4,1018.8199999999999
Portugal,459.44,1174.28,1633.72
Romania,445.49,766.3000000000001,1211.79
Russia,408.73,1007.6600000000001,1416.39
Rwanda,40.38,181.63,222.01
Saudi Arabia,291.82,692.86,984.6800000000001
Senegal,169.67,469.43,639.1
Serbia,326.71,723.34,1050.05
Sierra Leone,167.37,300.40999999999997,467.78
Slovakia,350.06,560.34,910.4000000000001
Slovenia,436.41,1111.5600000000002,1547.9700000000003
South Africa,212.41,892.4100000000001,1104.8200000000002
South Korea,286.06,822.05,1108.11
Spain,407.96,988.47,1396.43
Sri Lanka,218.77,294.46,513.23
Sweden,550.0,1527.03,2077.0299999999997
Switzerland,514.9,1356.75,1871.65
Taiwan,273.5,559.55,833.05
Tanzania,98.83000000000001,343.02,441.85
Thailand,219.57999999999998,378.0,597.5799999999999
Togo,74.32,188.09,262.40999999999997
Trinidad and Tobago,315.02,610.41,925.43
Tunisia,370.93,618.89,989.8199999999999
Turkey,433.21,897.01,1330.22
Uganda,80.58,304.72,385.3
Ukraine,343.28000000000003,665.73,1009.01
United Arab Emirates,397.71,897.32,1295.03
United Kingdom,447.96999999999997,1241.6299999999999,1689.6
United States of America,491.15,1718.86,2210.0099999999998
Uruguay,433.59999999999997,1634.9099999999999,2068.5099999999998
Venezuela,277.39000000000004,1104.1,1381.49
Vietnam,268.74,641.51,910.25
Zambia,57.11,225.3,282.41
Zimbabwe,96.56,350.33,446.89
eSwatini,150.29999999999998,678.94,829.24
